_transaction_day,transaction_count,fraud_count,fraud_rate
124,4202,89,0.021180390290337935
125,3467,148,0.04268820305739833
126,3051,102,0.03343166175024582
127,3335,84,0.025187406296851574
128,2507,69,0.027522935779816515
129,2348,130,0.05536626916524702
130,2807,95,0.033843961524759526
131,2822,105,0.03720765414599575
132,2752,108,0.03924418604651163
133,2687,136,0.05061406773353182
134,2937,103,0.035069799114742936
135,2429,90,0.03705228489090161
136,2048,73,0.03564453125
137,2914,69,0.02367879203843514
138,2846,112,0.03935347856640899
139,2769,61,0.022029613578909354
140,2629,103,0.03917839482693039
141,3000,131,0.043666666666666666
142,2391,103,0.04307820995399415
143,2064,71,0.03439922480620155
144,2718,90,0.033112582781456956
145,2668,67,0.025112443778110945
146,2990,98,0.03277591973244147
147,2718,79,0.029065489330389993
148,3060,86,0.028104575163398694
149,2289,66,0.028833551769331587
150,2209,69,0.03123585332729742
151,3101,99,0.03192518542405676
152,3896,120,0.030800821355236138
153,3105,126,0.04057971014492753
154,3783,94,0.024848004229447527
155,3352,119,0.035501193317422436
156,2575,54,0.020970873786407766
157,2259,69,0.03054448871181939
158,3048,81,0.0265748031496063
159,2845,89,0.031282952548330405
160,2878,85,0.029534398888116747
161,2854,68,0.023826208829712685
162,3233,114,0.03526136715125271
163,2880,136,0.04722222222222222
164,2988,77,0.025769745649263723
165,3038,73,0.02402896642527979
166,2931,94,0.03207096554077107
167,3020,119,0.03940397350993378
168,2948,116,0.03934871099050204
169,3191,146,0.04575368223127546
170,2409,101,0.04192611041926111
171,2795,68,0.024329159212880144
172,3160,81,0.025632911392405065
173,2866,142,0.04954640614096301
174,2837,87,0.030666196686640817
175,2683,108,0.04025344763324636
176,3032,145,0.04782321899736148
177,2364,109,0.0461082910321489
178,2068,88,0.0425531914893617
179,2177,66,0.03031694993109784
180,2618,98,0.0374331550802139
181,2739,122,0.04454180357794816
182,2754,119,0.043209876543209874
